g++ -O2 -std=c++20 -pthread -o bin/cpp_thread src/cpp_thread.cpp -lm
Built: cpp_thread
=== Network IDS: C++ Thread (8 threads) ===
Train: 50000 | Test: 20000 | Features: 52 | Classes: 7

--- SVM Training ---
  SVM(2v3) Epoch 21/50 | Errors: 46/500
  SVM(2v3) Epoch 22/50 | Errors: 54/500
  SVM(2v3) Epoch 23/50 | Errors: 44/500
  SVM(2v3) Epoch 24/50 | Errors: 44/500
  SVM(2v3) Epoch 25/50 | Errors: 44/500
  SVM(2v3) Epoch 26/50 | Errors: 34/500
  SVM(2v3) Epoch 27/50 | Errors: 48/500
  SVM(2v3) Epoch 28/50 | Errors: 46/500
  SVM(2v3) Epoch 29/50 | Errors: 46/500
  SVM(2v3) Epoch 30/50 | Errors: 43/500
  SVM(2v3) Epoch 31/50 | Errors: 36/500
  SVM(2v3) Epoch 32/50 | Errors: 36/500
  SVM(2v3) Epoch 33/50 | Errors: 38/500
  SVM(2v3) Epoch 34/50 | Errors: 42/500
  SVM(2v3) Epoch 35/50 | Errors: 42/500
  SVM(2v3) Epoch 36/50 | Errors: 46/500
  SVM(2v3) Epoch 37/50 | Errors: 44/500
  SVM(2v3) Epoch 38/50 | Errors: 46/500
  SVM(2v3) Epoch 39/50 | Errors: 42/500
  SVM(2v3) Epoch 40/50 | Errors: 42/500
  SVM(2v3) Epoch 41/50 | Errors: 36/500
  SVM(2v3) Epoch 42/50 | Errors: 40/500
  SVM(2v3) Epoch 43/50 | Errors: 44/500
  SVM(2v3) Epoch 44/50 | Errors: 36/500
  SVM(2v3) Epoch 45/50 | Errors: 42/500
  SVM(2v3) Epoch 46/50 | Errors: 46/500
  SVM(2v3) Epoch 47/50 | Errors: 48/500
  SVM(2v3) Epoch 48/50 | Errors: 46/500
  SVM(2v3) Epoch 49/50 | Errors: 44/500
  SVM(2v3) Epoch 50/50 | Errors: 39/500
  SVM(2v4) Epoch 1/50 | Errors: 39/500
  SVM(2v4) Epoch 2/50 | Errors: 28/500
  SVM(2v4) Epoch 3/50 | Errors: 30/500
  SVM(2v4) Epoch 4/50 | Errors: 24/500
  SVM(2v4) Epoch 5/50 | Errors: 24/500
  SVM(2v4) Epoch 6/50 | Errors: 24/500
  SVM(2v4) Epoch 7/50 | Errors: 24/500
  SVM(2v4) Epoch 8/50 | Errors: 24/500
  SVM(2v4) Epoch 9/50 | Errors: 24/500
  SVM(2v4) Epoch 10/50 | Errors: 24/500
  SVM(2v4) Epoch 11/50 | Errors: 24/500
  SVM(2v4) Epoch 12/50 | Errors: 24/500
  SVM(2v4) Epoch 13/50 | Errors: 24/500
  SVM(2v4) Epoch 14/50 | Errors: 24/500
  SVM(2v4) Epoch 15/50 | Errors: 22/500
  SVM(2v4) Epoch 16/50 | Errors: 8/500
  SVM(2v4) Epoch 17/50 | Errors: 10/500
  SVM(2v4) Epoch 18/50 | Errors: 10/500
  SVM(2v4) Epoch 19/50 | Errors: 15/500
  SVM(2v4) Epoch 20/50 | Errors: 10/500
  SVM(2v4) Epoch 21/50 | Errors: 12/500
  SVM(2v4) Epoch 22/50 | Errors: 11/500
  SVM(2v4) Epoch 23/50 | Errors: 8/500
  SVM(2v4) Epoch 24/50 | Errors: 8/500
  SVM(2v4) Epoch 25/50 | Errors: 8/500
  SVM(2v4) Epoch 26/50 | Errors: 8/500
  SVM(2v4) Epoch 27/50 | Errors: 8/500
  SVM(2v4) Epoch 28/50 | Errors: 8/500
  SVM(2v4) Epoch 29/50 | Errors: 8/500
  SVM(2v4) Epoch 30/50 | Errors: 8/500
  SVM(2v4) Epoch 31/50 | Errors: 8/500
  SVM(2v4) Epoch 32/50 | Errors: 8/500
  SVM(2v4) Epoch 33/50 | Errors: 10/500
  SVM(2v4) Epoch 34/50 | Errors: 8/500
  SVM(2v4) Epoch 35/50 | Errors: 8/500
  SVM(2v4) Epoch 36/50 | Errors: 8/500
  SVM(2v4) Epoch 37/50 | Errors: 10/500
  SVM(2v4) Epoch 38/50 | Errors: 8/500
  SVM(2v4) Epoch 39/50 | Errors: 8/500
  SVM(2v4) Epoch 40/50 | Errors: 10/500
  SVM(2v4) Epoch 41/50 | Errors: 8/500
  SVM(2v4) Epoch 42/50 | Errors: 8/500
  SVM(2v4) Epoch 43/50 | Errors: 10/500
  SVM(2v4) Epoch 44/50 | Errors: 8/500
  SVM(2v4) Epoch 45/50 | Errors: 9/500
  SVM(2v4) Epoch 46/50 | Errors: 12/500
  SVM(2v4) Epoch 47/50 | Errors: 10/500
  SVM(2v4) Epoch 48/50 | Errors: 8/500
  SVM(2v4) Epoch 49/50 | Errors: 22/500
  SVM(2v4) Epoch 50/50 | Errors: 22/500
  SVM(2v5) Epoch 1/50 | Errors: 31/500
  SVM(2v5) Epoch 2/50 | Errors: 0/500
  SVM(2v6) Epoch 1/50 | Errors: 14/500
  SVM(2v6) Epoch 2/50 | Errors: 0/500
